problem,maxsat_trans,maxsat_solve,maxsat_result
34_20_6_3_3_2,11551,13758,SAT
34_20_6_3_3_2,11654,13490,SAT
34_20_6_3_3_2,12114,13393,SAT
34_20_6_3_3_2,11679,13712,SAT
34_20_6_3_3_2,10801,13627,SAT
42_20_6_3_3_2,18653,28594,SAT
42_20_6_3_3_2,18031,27093,SAT
42_20_6_3_3_2,17489,27389,SAT
42_20_6_3_3_2,18024,26246,SAT
42_20_6_3_3_2,17363,26958,SAT
46_20_6_3_3_2,22769,193132,SAT
46_20_6_3_3_2,21478,188076,SAT
46_20_6_3_3_2,21434,186320,SAT
46_20_6_3_3_2,20528,186152,SAT
46_20_6_3_3_2,20565,187850,SAT
52_20_6_3_3_2,27431,162796,SAT
52_20_6_3_3_2,28879,166501,SAT
52_20_6_3_3_2,29487,167538,SAT
52_20_6_3_3_2,27190,166533,SAT
52_20_6_3_3_2,30383,167657,SAT
50_20_6_3_3_2,25934,234654,SAT
50_20_6_3_3_2,26619,229461,SAT
50_20_6_3_3_2,26431,232427,SAT
50_20_6_3_3_2,24533,232754,SAT
50_20_6_3_3_2,24404,232930,SAT
38_20_6_3_3_2,14668,21405,SAT
38_20_6_3_3_2,14284,21859,SAT
38_20_6_3_3_2,14644,21334,SAT
38_20_6_3_3_2,14715,21241,SAT
38_20_6_3_3_2,14946,21118,SAT
