problem,sat_trans,sat_solve,#inst
80_90_3_6,80231,N/A,41291
80_90_3_6,77723,N/A,43271
80_90_3_6,66847,N/A,43901
80_90_3_6,73897,N/A,43578
80_90_3_6,76419,N/A,42809
70_80_3_6,51310,N/A,63606
70_80_3_6,56037,N/A,59331
70_80_3_6,52610,N/A,61325
70_80_3_6,58810,N/A,62472
70_80_3_6,50823,N/A,61834
60_70_3_6,30846,N/A,122144
60_70_3_6,32596,N/A,121346
60_70_3_6,29841,N/A,117826
60_70_3_6,31764,N/A,111034
60_70_3_6,31484,N/A,108014
40_50_3_6,11358,N/A,414987
40_50_3_6,10910,N/A,412298
40_50_3_6,11559,N/A,415899
40_50_3_6,11232,N/A,415039
40_50_3_6,11501,N/A,394529
30_40_3_6,5585,N/A,849243
30_40_3_6,4983,N/A,924486
30_40_3_6,4971,N/A,891402
30_40_3_6,5482,N/A,736432
30_40_3_6,6583,N/A,599884
90_100_3_6,136883,N/A,16809
90_100_3_6,135094,N/A,20822
90_100_3_6,95265,N/A,27958
90_100_3_6,114091,N/A,25321
90_100_3_6,91625,N/A,25790
50_60_3_6,19109,N/A,209599
50_60_3_6,20974,N/A,209656
50_60_3_6,17408,N/A,210645
50_60_3_6,20458,N/A,214048
50_60_3_6,21290,N/A,214673
