problem,auto_part_trans,auto_part_solve,auto_part_result
7_30_7_6_3_7,202,989,SAT
7_30_7_6_3_7,213,1011,SAT
7_30_7_6_3_7,201,1012,SAT
7_30_7_6_3_7,208,975,SAT
7_30_7_6_3_7,200,986,SAT
8_32_8_7_3_7,229,730542,SAT
8_32_8_7_3_7,304,777035,SAT
8_32_8_7_3_7,340,703336,SAT
8_32_8_7_3_7,258,671001,SAT
8_32_8_7_3_7,267,759612,SAT
7_28_7_6_3_7,246,3486,SAT
7_28_7_6_3_7,206,3443,SAT
7_28_7_6_3_7,228,3478,SAT
7_28_7_6_3_7,240,3378,SAT
7_28_7_6_3_7,218,3393,SAT
8_30_8_7_3_7,241,46074,SAT
8_30_8_7_3_7,263,46029,SAT
8_30_8_7_3_7,300,47453,SAT
8_30_8_7_3_7,232,46142,SAT
8_30_8_7_3_7,248,45749,SAT
